FG,FG%,2P,2PA,2P%,FT,FTA,ORB,DRB,TRB,BLK,PTS,PER,TS%,eFG%,FTr,TRB%,BLK%,USG%,WS/40
3.7,0.467,3.1,6.3,0.496,2.3,3.4,2,5.6,7.6,0.8,10.5,25.4,0.543,0.506,0.426,18,3.6,23.7,0.212
4.1,0.52,4.1,7.7,0.526,2.1,3.6,2.5,5.2,7.7,2.7,10.3,22.9,0.538,0.523,0.456,18.6,10.7,23.5,0.246
4.4,0.555,4.4,7.7,0.565,1.5,2.5,2.1,4.2,6.3,1.3,10.4,22.9,0.566,0.557,0.32,14.5,3.8,22.8,0.252
5,0.495,4.6,8.9,0.513,2,4.7,2.7,5.3,8,1,12.4,20.4,0.503,0.516,0.471,14.9,3.4,23.2,0.183
4.9,0.501,4.8,9.3,0.517,5.1,7.2,3.5,6.9,10.4,0.8,15,24.5,0.567,0.505,0.739,19.2,2.6,25.4,0.191
3.9,0.538,3.4,5.9,0.585,2.5,3.5,2,3.2,5.2,0.5,10.7,24.1,0.604,0.57,0.476,13.1,2.3,22.7,0.198
5.5,0.592,5.5,9.3,0.594,5,6.6,2.6,4.7,7.3,1.2,16.1,30.6,0.643,0.592,0.705,15.7,4.4,25.4,0.271
4.1,0.59,4.1,6.9,0.59,2.3,4.3,2.7,6.8,9.5,4.4,10.5,27.3,0.583,0.59,0.627,17.4,13.2,17.4,0.206
5.1,0.447,3.1,6.5,0.485,3.4,4.2,1.9,4.8,6.7,0.9,15.5,22.9,0.579,0.532,0.369,11.5,2.5,24.6,0.155
5.3,0.502,4.8,9.1,0.525,3.8,5,1.5,5.3,6.8,0.7,15,22.9,0.577,0.527,0.473,14.1,2.4,30.8,0.194
4.7,0.445,3,5.6,0.541,3.6,4.7,1.4,5.4,6.7,0.8,14.8,22,0.575,0.525,0.44,12.3,2.6,23,0.18
6.9,0.439,5,10.5,0.47,5.5,6.7,1.5,4.8,6.3,0.5,21.3,29.1,0.563,0.501,0.423,11,1.5,32.4,0.224
